"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяет успешную авторизацию зарегистрированного пользователя с корректным e-mail и паролем","1799","Авторизация существующего пользователя","","2026-04-05","passed","2026-04-05","","2. Логин пользователя","ru.educationservices.stellarburgers.tests.LoginUserTests","loginUserIsSuccess"
"Проверяет, что создание пользователя без заполнения всех полей возвращает ошибку","348","Создание пользователя, когда ни одно поле не заполнено","","2026-04-05","passed","2026-04-05","","1. Создание пользователя","ru.educationservices.stellarburgers.tests.CreateUserTests","createNewUserMissedAllParamsIsFailed"
"Проверяет, что повторное создание пользователя с теми же данными возвращает ошибку","1737","Создание пользователя, который уже зарегистрирован","","2026-04-05","passed","2026-04-05","","1. Создание пользователя","ru.educationservices.stellarburgers.tests.CreateUserTests","createDuplicateUserShouldFail"
"Проверяет, что авторизация пользователя с неверным e-mail завершается с ошибкой","1732","Авторизация пользователя с некорректным e-mail","","2026-04-05","passed","2026-04-05","","2. Логин пользователя","ru.educationservices.stellarburgers.tests.LoginUserTests","loginUserIncorrectEmailIsFailed"
"Проверяет, что создание пользователя без имени возвращает ошибку","342","Создание пользователя без name","","2026-04-05","passed","2026-04-05","","1. Создание пользователя","ru.educationservices.stellarburgers.tests.CreateUserTests","createNewUserMissedNameIsFailed"
"Проверяет, что создание заказа без авторизации и без ингредиентов, завершается с ошибкой","2114","Создание заказа: без авторизации и без ингредиентов","","2026-04-05","passed","2026-04-05","","3. Создание заказа","ru.educationservices.stellarburgers.tests.CreateOrderTests","createOrderWithoutAuthAndWithoutIngredientsIsFailed"
"Проверяет, что создание заказа с авторизацией, но с некорректным ID ингредиента, возвращает ошибку сервера","2325","Создание заказа: с неверным хешем ингредиентов","","2026-04-05","passed","2026-04-05","","3. Создание заказа","ru.educationservices.stellarburgers.tests.CreateOrderTests","createOrderWithAuthAndIncorrectIngredientsIsFailed"
"Проверяет, что авторизация без e-mail завершается с ошибкой","1773","Авторизация пользователя без e-mail","","2026-04-05","passed","2026-04-05","","2. Логин пользователя","ru.educationservices.stellarburgers.tests.LoginUserTests","loginUserMissedEmailIsFailed"
"Проверяет, что авторизация без пароля завершается с ошибкой","1722","Авторизация пользователя без пароля","","2026-04-05","passed","2026-04-05","","2. Логин пользователя","ru.educationservices.stellarburgers.tests.LoginUserTests","loginUserMissedPasswordIsFailed"
"Проверяет успешное создание нового уникального пользователя с валидными данными","1377","Создание уникального пользователя","","2026-04-05","passed","2026-04-05","","1. Создание пользователя","ru.educationservices.stellarburgers.tests.CreateUserTests","createNewUserIsSuccess"
"Проверяет, что создание заказа без авторизации, но с ингредиентами, завершается с ошибкой","2165","Создание заказа: без авторизации и с ингредиентами","","2026-04-05","failed","2026-04-05","","3. Создание заказа","ru.educationservices.stellarburgers.tests.CreateOrderTests","createOrderWithoutAuthAndWithIngredientsIsFailed"
"Проверяет, что авторизация пользователя с неверным паролем завершается с ошибкой","1783","Авторизация пользователя с некорректным паролем","","2026-04-05","passed","2026-04-05","","2. Логин пользователя","ru.educationservices.stellarburgers.tests.LoginUserTests","loginUserIncorrectPasswordIsFailed"
"Проверяет успешное создание заказа с авторизацией и корректными ингредиентами","12225","Создание заказа: с авторизацией и с ингредиентами","","2026-04-05","passed","2026-04-05","","3. Создание заказа","ru.educationservices.stellarburgers.tests.CreateOrderTests","createOrderWithAuthAndIngredientsIsSuccess"
"Проверяет, что создание пользователя без пароля возвращает ошибку","340","Создание пользователя без password","","2026-04-05","passed","2026-04-05","","1. Создание пользователя","ru.educationservices.stellarburgers.tests.CreateUserTests","createNewUserMissedPasswordIsFailed"
"Проверяет, что создание заказа с авторизацией, но без ингредиентов, завершается с ошибкой","2081","Создание заказа: с авторизацией и без ингредиентов","","2026-04-05","passed","2026-04-05","","3. Создание заказа","ru.educationservices.stellarburgers.tests.CreateOrderTests","createOrderWithAuthAndWithoutIngredientsIsSuccess"
"Проверяет, что создание пользователя без email возвращает ошибку","341","Создание пользователя без email","","2026-04-05","passed","2026-04-05","","1. Создание пользователя","ru.educationservices.stellarburgers.tests.CreateUserTests","createNewUserMissedEmailIsFailed"
